;index;YEAR;VAR1;VAR2;VAR3
0;0;1976;5723.16;8408.68;14131.84
1;1;1977;6246.04;7817.08;14063.119999999999
2;2;1978;6684.6;7261.8;13946.4
3;3;1979;7072.92;6880.28;13953.2
4;4;1980;7109.28;6839.4;13948.68
5;5;1981;3632.6800000000003;6106.48;9739.16
6;6;1982;4909.6;4838.6;9748.2
7;7;1983;5335.280000000001;4415.76;9751.04
8;8;1984;5539.320000000001;7986.68;13526.0
9;9;1985;5870.8;7700.04;13570.84
10;10;1986;6135.88;7399.28;13535.16
11;11;1987;6388.64;7219.040000000001;13607.68
12;12;1988;6360.28;7000.08;13360.36
13;13;1989;6335.28;7082.96;13418.24
14;14;1990;6466.4;6974.76;13441.16
15;15;1991;6554.28;6891.0;13445.28
16;16;1992;6631.64;6908.360000000001;13540.0
17;17;1993;6629.4800000000005;6910.64;13540.119999999999
18;18;1994;6659.08;6918.56;13577.640000000001
19;19;1995;6660.12;7257.240000000001;13917.36
20;20;1996;6670.12;7097.88;13768.0
21;21;1997;6682.0;7078.08;13760.08
22;22;1998;6700.96;6884.56;13585.52
23;23;1999;6585.92;2740.2000000000003;9326.12
24;24;2000;6609.52;2725.84;9335.36
25;25;2001;6612.32;2717.96;9330.279999999999
26;26;2002;6607.0;6888.28;13495.279999999999
27;27;2003;6614.52;6896.68;13511.2
28;28;2004;6117.960000000001;2410.24;8528.2
29;29;2005;6357.72;2191.12;8548.84
30;30;2006;6422.96;2166.16;8589.119999999999
31;31;2007;6194.24;5970.04;12164.28
32;32;2008;6276.76;5936.0;12212.76
33;33;2009;6352.879999999999;5891.12;12244.0
34;34;2010;6513.56;6476.96;12990.52
35;35;2011;6523.76;6784.280000000001;13308.04
36;36;2012;6527.8;6712.24;13240.04
37;37;2013;6528.72;7080.36;13609.08
38;38;2014;6529.240000000001;7075.92;13605.16
39;39;2015;6534.960000000001;7111.84;13646.8
40;40;2016;6534.360000000001;7315.08;13849.44
41;41;2017;6532.76;7325.48;13858.24
42;42;2018;6531.080000000001;7357.2;13888.279999999999
43;43;2019;6531.0;7362.5199999999995;13893.52
44;44;2020;6532.24;7375.92;13908.16
45;45;2021;6534.68;6818.200000000001;13352.88
46;46;2022;6622.6;5814.24;12436.84
47;47;2023;6530.48;5751.040000000001;12281.52
48;48;2024;6533.56;5747.96;12281.52
