;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1977;1108.24;1108.24;833.0
1;1;1978;771.96;758.72;685.24
2;2;1979;3609.84;3606.88;3138.24
3;3;1980;1184.52;1184.52;1164.56
4;4;1981;2614.24;2613.68;2326.7200000000003
5;5;1982;2750.48;2750.44;2452.7200000000003
6;6;1983;826.08;826.08;784.88
7;7;1984;1547.56;1547.52;1542.72
8;8;1985;1634.44;1634.44;1551.0
9;9;1986;3417.88;3417.88;2906.48
10;10;1987;912.36;912.36;882.64
11;11;1988;1040.28;1040.28;1032.08
12;12;1989;1281.04;1281.04;1269.52
13;13;1990;1497.4;1497.4;1491.72
14;14;1991;1447.76;1447.76;1411.28
15;15;1992;1390.48;1390.44;1333.72
16;16;1993;1487.68;1487.56;1397.16
17;17;1994;969.52;969.48;919.32
18;18;1995;797.64;797.64;784.0
19;19;1996;3300.76;3236.44;2911.2000000000003
20;20;1997;2273.92;2249.32;2100.32
21;21;1998;651.6800000000001;651.6800000000001;641.28
22;22;1999;2095.48;2060.8;2001.76
23;23;2000;932.88;932.8;872.8000000000001
24;24;2001;4695.0;4694.2;3063.52
25;25;2002;858.5600000000001;858.5600000000001;640.92
26;26;2003;528.16;528.16;496.76
27;27;2004;2865.36;2864.96;2565.36
28;28;2005;3462.28;3461.64;3062.6800000000003
29;29;2006;2505.64;2505.64;2349.28
30;30;2007;984.52;984.12;758.92
31;31;2008;4033.32;4032.32;3210.88
32;32;2009;4119.76;4118.88;2940.0
33;33;2010;1212.16;1211.6;904.92
34;34;2011;1760.68;1760.28;1697.72
35;35;2012;1300.6;1300.56;1104.64
36;36;2013;2624.16;2623.28;2564.24
37;37;2014;2469.84;2469.68;2399.36
38;38;2015;1266.84;1266.6;1206.72
39;39;2016;1729.44;1729.24;1697.08
40;40;2017;1763.8;1763.24;1758.84
41;41;2018;1300.24;1299.12;1230.28
42;42;2019;2578.56;2577.6;2342.84
43;43;2020;2421.7200000000003;2421.7200000000003;2281.76
44;44;2021;2304.76;2304.76;2155.76
45;45;2022;5852.24;5847.88;2487.16
46;46;2023;4645.72;4642.400000000001;2618.16
47;47;2024;2271.32;2271.28;1304.84
